cik,cash,cash_period_end,opcf,opcf_period_end,cash_tag,opcf_tag,asof_utc
0000002186,21471000.0,2025-09-30,16435000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:20.133795+00:00
0000008504,3784659.0,2025-03-31,-7335102.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:21.016513+00:00
0000012239,5373000.0,2025-09-30,-4031000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:21.556319+00:00
0000022701,5414591.0,2025-09-30,-1146338.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:22.388071+00:00
0000025743,5745000.0,2025-03-31,-8701000.0,2023-03-31,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:22.876744+00:00
0000034956,99400000.0,2025-09-30,-22385000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:23.486633+00:00
0000038264,4760620.0,2016-09-30,-2199330.0,2025-06-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:24.000103+00:00
0000041719,305000000.0,2025-09-27,103000000.0,2025-09-27,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:24.621538+00:00
0000058361,9989000.0,2025-09-28,-5541000.0,2025-09-28,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:25.268351+00:00
0000064463,4600000.0,2023-06-30,-3479000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:25.809110+00:00
0000073290,3053000.0,2025-08-31,-268000.0,2025-08-31,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:26.218086+00:00
0000081955,9490747.0,2025-09-30,14009105.0,2025-09-30,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:26.600794+00:00
0000101594,1415000.0,2025-09-30,-6281000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:27.460709+00:00
0000109657,2528000.0,2025-09-30,-8893000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:27.943757+00:00
0000314203,51249000.0,2025-09-30,3761000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:28.598697+00:00
0000318306,82884000.0,2025-09-30,-58373000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:29.088443+00:00
0000318833,14812000.0,2025-09-30,-28122000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:29.568286+00:00
0000319458,172000.0,2024-09-30,2470000.0,2024-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:30.189326+00:00
0000320017,18998000.0,2025-09-30,-12700000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:30.891647+00:00
0000356037,26308000.0,2025-06-30,370000.0,2025-06-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:31.544437+00:00
0000709283,14670000.0,2025-09-30,-32489000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:32.089069+00:00
0000716643,16560000.0,2025-09-30,2283000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:32.641146+00:00
0000720875,761748.0,2025-09-30,-93317.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:33.087890+00:00
0000721693,138813673.0,2022-12-31,64443002.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:33.637255+00:00
0000725363,5135070.0,2023-06-30,-12449214.0,2025-06-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:34.226172+00:00
0000728387,26762000.0,2025-09-30,-57827000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:35.082649+00:00
0000732026,12262000.0,2025-09-30,933000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:35.608083+00:00
0000736012,2527000.0,2025-09-30,-6228000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:36.050913+00:00
0000744452,4727677.0,2025-06-30,-6511109.0,2025-03-31,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:36.542472+00:00
0000748592,4315000.0,2025-06-30,-5869000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:37.051095+00:00
0000749647,5250929.0,2025-09-30,-10239523.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:37.608846+00:00
0000771999,7019000.0,2025-09-30,-7576000.0,2025-09-30,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:38.404746+00:00
