ticker,borrow_annual,entry_date_used,exit_date_used,effective_date,split_multiplier_old_per_new,entry_price_raw,exit_price_raw,entry_dt,exit_dt,eff_dt,split_mult,forced_exit_price_raw,is_forced_exit,ret_short_gross,holding_days
TRT,0.0,2025-12-03,2026-01-02,2026-01-02,1.0,4.215000152587891,6.224999904632568,2025-12-03,2025-12-04,2026-01-02,1.0,1.25,True,-0.4768682513120658,30
RPT,0.0,2025-12-01,2025-12-31,2025-12-31,1.0,15.65999984741211,16.579999923706055,2025-12-01,2025-12-02,2025-12-31,1.0,1.25,True,-0.05874840902032191,30
ILAG,0.037038,2025-12-01,2025-12-30,2025-12-30,1.0,4.75,4.550000190734863,2025-12-01,2025-12-02,2025-12-30,1.0,1.25,True,0.04210522300318668,29
ACET,0.0,2025-12-01,2025-12-30,2025-12-30,1.0,9.760000228881836,7.929999828338623,2025-12-01,2025-12-02,2025-12-30,1.0,1.25,True,0.1875000366421988,29
SCWO,0.077386,2025-11-26,2025-12-26,2025-12-26,1.0,2.9000000953674316,2.359999895095825,2025-11-26,2025-11-28,2025-12-26,1.0,1.25,True,0.18620695948742308,30
ASRT,0.0,2025-11-26,2025-12-26,2025-12-26,1.0,10.800000190734863,9.9399995803833,2025-11-26,2025-11-28,2025-12-26,1.0,1.25,True,0.07962968473735235,30
BNKK,0.08071199999999999,2025-11-11,2025-12-11,2025-12-11,1.0,6.824999809265137,3.2200000286102295,2025-11-11,2025-11-12,2025-12-11,1.0,1.25,True,0.5282051108281373,30
STRO,0.0,2025-11-03,2025-12-03,2025-12-03,1.0,11.0,8.699999809265137,2025-11-03,2025-11-04,2025-12-03,1.0,1.25,True,0.2090909264304421,30
PMN,0.004793999999999996,2025-10-29,2025-11-28,2025-11-28,1.0,10.5,6.760000228881836,2025-10-29,2025-10-30,2025-11-28,1.0,1.25,True,0.3561904543922061,30
RJET,0.0,2025-10-27,2025-11-25,2025-11-25,1.0,21.600000381469727,20.950000762939453,2025-10-27,2025-10-28,2025-11-25,1.0,1.25,True,0.030092574400503117,29
IOTR,0.040916,2025-10-13,2025-11-10,2025-11-10,1.0,3.5299999713897705,3.7300000190734863,2025-10-13,2025-10-14,2025-11-10,1.0,1.25,True,-0.05665723776336895,28
NVA,0.09417199999999999,2025-09-29,2025-10-29,2025-10-29,1.0,3.2820000648498535,6.639999866485596,2025-09-29,2025-09-30,2025-10-29,1.0,1.25,True,-1.0231565311652013,30
LGMK,0.0,2025-09-29,2025-10-28,2025-10-28,1.0,2.25,1.1299999952316284,2025-09-29,2025-09-30,2025-10-28,1.0,1.25,True,0.497777779897054,29
ETHZ,0.099856,2025-09-22,2025-10-20,2025-10-20,1.0,24.0,17.1200008392334,2025-09-22,2025-09-23,2025-10-20,1.0,1.25,True,0.2866666316986084,28
SENS,0.0,2025-09-22,2025-10-20,2025-10-20,1.0,9.180000305175781,8.470000267028809,2025-09-22,2025-09-23,2025-10-20,1.0,1.25,True,0.07734204951460265,28
LPSN,0.107062,2025-09-15,2025-10-13,2025-10-13,1.0,13.199999809265137,5.78000020980835,2025-09-15,2025-09-16,2025-10-13,1.0,1.25,True,0.5621211898994618,28
GGR,0.055704000000000004,2025-09-08,2025-10-06,2025-10-06,1.0,7.019999980926514,6.070000171661377,2025-09-08,2025-09-09,2025-10-06,1.0,1.25,True,0.13532760852511483,28
RAYA,0.07597399999999999,2025-09-02,2025-09-30,2025-09-30,1.0,11.0,4.090000152587891,2025-09-02,2025-09-03,2025-09-30,1.0,1.25,True,0.6281818043101918,28
